,kinase,metabolite,total_genes,kinase_targets,metabolite_network_size,overlap,p-value,adjusted p-value
7611,PknJ,no2_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7612,PknJ,dudp_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7613,PknJ,datp_c,1011,8,37.0,0.0,0.25868432871229746,0.2969825837511479
7614,PknJ,nh4oh_c,1011,8,11.0,0.0,0.08407948548022577,0.12412918122672385
7615,PknJ,ncam_c,1011,8,21.0,0.0,0.15507941395809738,0.19788934296148983
7616,PknJ,dmbzid_c,1011,8,43.0,0.0,0.2945656577932236,0.319054185454349
7617,PknJ,5prdmbz_c,1011,8,44.0,0.0,0.30039569367923014,0.32501615599725897
7618,PknJ,quln_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7619,PknJ,no_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7620,PknJ,o2s_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7621,PknJ,no3_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7622,PknJ,fmnh2_c,1011,8,42.0,0.0,0.28869315546475943,0.31358639143670786
7623,PknJ,sbzcoa_c,1011,8,67.0,1.0,0.09349168762403207,0.12942808190981275
7624,PknJ,xtsn_c,1011,8,37.0,0.0,0.25868432871229746,0.2969825837511479
7625,PknJ,thymd_c,1011,8,32.0,0.0,0.2275735226226958,0.2659155764641788
7626,PknJ,dgsn_c,1011,8,39.0,0.0,0.27081819430824944,0.2977597861844585
7627,PknJ,dtdprmn_c,1011,8,39.0,0.0,0.27081819430824944,0.2977597861844585
7628,PknJ,orot5p_c,1011,8,28.0,0.0,0.201868294936199,0.23941123986491575
7629,PknJ,oxalcoa_c,1011,8,56.0,1.0,0.06806441595527037,0.10550198622411584
7630,PknJ,thmpp_c,1011,8,52.0,1.0,0.05955535676359045,0.09765925004400416
7631,PknJ,pro__L_c,1011,8,13.0,0.0,0.09868287082083739,0.13544973879685837
7632,PknJ,pnto__R_c,1011,8,21.0,0.0,0.15507941395809738,0.19788934296148983
7633,PknJ,uAgla_c,1011,8,53.0,0.0,0.3509980557816607,0.3616892717295791
7634,PknJ,uaAgla_c,1011,8,50.0,0.0,0.3344987742124116,0.3459734445683353
7635,PknJ,uGgla_c,1011,8,53.0,0.0,0.3509980557816607,0.3616892717295791
7636,PknJ,uaGgla_c,1011,8,50.0,0.0,0.3344987742124116,0.3459734445683353
7637,PknJ,ugmda_c,1011,8,53.0,0.0,0.3509980557816607,0.3616892717295791
7638,PknJ,uagmda_c,1011,8,50.0,0.0,0.3344987742124116,0.3459734445683353
7639,PknJ,pat_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7640,PknJ,pre4_c,1011,8,25.0,0.0,0.18210120037654814,0.2282267964031082
7641,PknJ,pre5_c,1011,8,26.0,0.0,0.18873729611385806,0.23353195084854553
7642,PknJ,pre3b_c,1011,8,25.0,0.0,0.18210120037654814,0.2282267964031082
7643,PknJ,dscl_c,1011,8,23.0,0.0,0.16868637109336185,0.21345124680001917
7644,PknJ,pre3a_c,1011,8,24.0,0.0,0.17541765553794997,0.22093238292134537
7645,PknJ,pre6a_c,1011,8,26.0,0.0,0.18873729611385806,0.23353195084854553
7646,PknJ,pre6b_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7647,PknJ,pre8_c,1011,8,28.0,0.0,0.201868294936199,0.23941123986491575
7648,PknJ,hgbyr_c,1011,8,29.0,0.0,0.20836377168137749,0.24594564652633324
7649,PknJ,lpam_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7650,PknJ,adhlam_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7651,PknJ,phthiocerol_c,1011,8,33.0,0.0,0.23388548566561573,0.27217550687299963
7652,PknJ,pdima_c,1011,8,36.0,0.0,0.2525514172642089,0.2904428606011528
7653,PknJ,pdx5p_c,1011,8,20.0,0.0,0.14820315283059465,0.19023375758833885
7654,PknJ,pydx5p_c,1011,8,19.0,0.0,0.1412779752113312,0.18311093410507603
7655,PknJ,peamn_c,1011,8,28.0,0.0,0.201868294936199,0.23941123986491575
7656,PknJ,3php_c,1011,8,15.0,0.0,0.11308211774541066,0.15168810955634385
7657,PknJ,mfrrppdima_c,1011,8,65.0,0.0,0.4134714585244101,0.420808194582257
7658,PknJ,2pglyc_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
7659,PknJ,pgp160_c,1011,8,26.0,0.0,0.18873729611385806,0.23353195084854553
7660,PknJ,pg160_c,1011,8,26.0,0.0,0.18873729611385806,0.23353195084854553
7661,PknJ,pgp160190_c,1011,8,35.0,0.0,0.24637415624986353,0.28474974862462515
7662,PknJ,pgp190_c,1011,8,34.0,0.0,0.24015227105894393,0.27833232669472313
7663,PknJ,pg190_c,1011,8,34.0,0.0,0.24015227105894393,0.27833232669472313
7664,PknJ,uggmda_c,1011,8,54.0,0.0,0.3564176962344236,0.36674385074951515
7665,PknJ,ugggmda_c,1011,8,51.0,0.0,0.34003884685164243,0.3513758222799121
7666,PknJ,phe__L_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7667,PknJ,phpyr_c,1011,8,27.0,0.0,0.19532623177993846,0.23353195084854553
7668,PknJ,phthdl_c,1011,8,25.0,0.0,0.18210120037654814,0.2282267964031082
7669,PknJ,prepphth_c,1011,8,40.0,0.0,0.27681969065139134,0.3030894693034433
7670,PknJ,pphthdl_c,1011,8,40.0,0.0,0.27681969065139134,0.3030894693034433
7671,PknJ,pphthiocerol_c,1011,8,46.0,0.0,0.31192941873585,0.3361468090901396
7672,PknJ,4r5au_c,1011,8,39.0,0.0,0.27081819430824944,0.2977597861844585
7673,PknJ,2mahmp_c,1011,8,30.0,0.0,0.21481294665749673,0.25266154480162845
7674,PknJ,ptcys_c,1011,8,12.0,0.0,0.09140684959638397,0.12715923598716364
